,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed,gene_symbol,Candidate_EMG,delabel
SK1_14T03050.1|CDS=1-933|Name=YNR007C|ATG3,2455.261861,1.210545015,0.223780338,5.409523579,6.32E-08,2.34E-07,UP,ATG3,FALSE,NA
SK1_09T00220.1|CDS=1-1590|Name=YIL146C|ATG32,4738.659094,0.736783844,0.175973152,4.186910538,2.83E-05,6.83E-05,UP,ATG32,FALSE,NA
SK1_16T01650.1|CDS=1-1002|Name=YPL111W|CAR1,2894.804491,-1.369450046,0.125196156,-10.93843526,7.55E-28,4.91E-26,DOWN,CAR1,FALSE,NA
SK1_12T03740.1|CDS=1-594|Name=YLR356W|ATG33,7302.33673,1.527868354,0.158838881,9.618982081,6.65E-22,1.98E-20,UP,ATG33,FALSE,NA
SK1_14T01000.1|CDS=1-1485|Name=YNL223W|ATG4,2102.655896,0.61605295,0.150586493,4.091023957,4.29E-05,0.000100277,UP,ATG4,FALSE,NA
SK1_15T02820.1|CDS=1-771|Name=YOR152C|ATG40,3059.617584,2.292354899,0.245338342,9.343647133,9.31E-21,2.45E-19,UP,ATG40,FALSE,NA
SK1_10T01930.1|CDS=1-1809|Name=YJR001W|AVT1,1396.354227,-1.441454246,0.132255775,-10.89898904,1.17E-27,7.24E-26,DOWN,AVT1,FALSE,NA
SK1_16T01300.1|CDS=1-885|Name=YPL149W|ATG5,496.6898438,0.780325876,0.113682653,6.86407165,6.69E-12,4.70E-11,UP,ATG5,FALSE,NA
SK1_09T01840.1|CDS=1-1032|Name=YIR029W|DAL2,742.0191121,-1.244306335,0.114684116,-10.84985769,2.00E-27,1.21E-25,DOWN,DAL2,FALSE,NA
SK1_02T00340.1|CDS=1-354|Name=YBL078C|ATG8,7242.865908,2.140521721,0.157848418,13.56061563,6.86E-42,1.31E-39,UP,ATG8,FALSE,NA
SK1_15T00970.1|CDS=1-1656|Name=YOL055C|THI20,1305.832807,-1.742317051,0.160950009,-10.82520627,2.61E-27,1.55E-25,DOWN,THI20,FALSE,NA
SK1_13T04090.1|CDS=1-2073|Name=YMR301C|ATM1,233.8468189,1.421510521,0.226753302,6.26897386,3.63E-10,1.87E-09,UP,ATM1,FALSE,NA
SK1_14T01720.1|CDS=1-1500|Name=YNL142W|MEP2,881.2746202,-2.162150987,0.200033346,-10.80895273,3.12E-27,1.82E-25,DOWN,MEP2,FALSE,NA
SK1_15T02170.1|CDS=1-942|Name=YOR079C|ATX2,171.1901835,0.968403158,0.165144876,5.863961267,4.52E-09,2.01E-08,UP,ATX2,FALSE,NA
SK1_11T02070.1|CDS=1-1206|Name=YKL004W|AUR1,1706.591109,1.393953364,0.177467136,7.854712684,4.01E-15,4.53E-14,UP,AUR1,FALSE,NA
SK1_16T03750.1|CDS=1-3627|Name=YPR122W|AXL1,1248.217379,1.442175606,0.252344547,5.715105086,1.10E-08,4.59E-08,UP,AXL1,FALSE,NA
SK1_09T00270.1|CDS=1-2472|Name=YIL140W|AXL2,604.634125,1.238480816,0.209236938,5.919035257,3.24E-09,1.47E-08,UP,AXL2,FALSE,NA
SK1_15T02470.1|CDS=1-2745|Name=YOR113W|AZF1,3172.797178,1.316719243,0.239355938,5.501092867,3.77E-08,1.44E-07,UP,AZF1,FALSE,NA
SK1_07T04330.1|CDS=1-1842|Name=YGR224W|AZR1,780.2925436,1.793447811,0.454700638,3.944238605,8.01E-05,0.000179125,UP,AZR1,FALSE,NA
SK1_10T03150.1|CDS=1-2124|Name=YJR134C|SGM1,895.1492767,-1.198932593,0.112471928,-10.65983852,1.57E-26,8.50E-25,DOWN,SGM1,FALSE,NA
SK1_15T02670.1|CDS=1-1233|Name=YOR134W|BAG7,749.7763695,0.898125252,0.248456376,3.614820702,0.000300556,0.000616613,UP,BAG7,FALSE,NA
