,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed,gene_symbol,Candidate_EMG,delabel,
SK1_04T02070.1|CDS=1-1596|Name=YDL020C|RPN4,1910.318761,0.073450529,0.10471764,43.73389102,7.29E-09,7.06E-07,p < 0.05,RPN4,FALSE,NA,0
SK1_01T00150.1|CDS=1-2142|Name=YAL054C|ACS1,344.6285009,1.373504869,0.312886151,43.44800245,8.35E-09,7.96E-07,p < 0.05,ACS1,FALSE,NA,1
SK1_05T01170.1|CDS=1-1227|Name=YER044C-A|MEI4,115.4319131,1.638813363,0.354372434,42.41159533,1.37E-08,1.28E-06,p < 0.05,MEI4,FALSE,NA,1
SK1_07T01990.1|CDS=1-642|Name=YGL033W|HOP2,100.5028493,3.411685643,0.558238734,41.90348014,1.75E-08,1.61E-06,p < 0.05,HOP2,FALSE,NA,1
SK1_15T01030.1|CDS=1-1476|Name=YOL049W|GSH2,1924.970341,-0.37071003,0.085480849,40.73460255,3.05E-08,2.72E-06,p < 0.05,GSH2,FALSE,NA,0
SK1_05T02360.1|CDS=1-2265|Name=YER162C|RAD4,487.5580886,-0.323602335,0.13861859,40.45181383,3.49E-08,3.06E-06,p < 0.05,RAD4,FALSE,NA,0
SK1_08T01770.1|CDS=1-876|Name=YHR133C|NSG1,321.5342641,0.55860892,0.169726187,39.85749477,4.63E-08,4.00E-06,p < 0.05,NSG1,FALSE,NA,0
SK1_12T00310.1|CDS=1-3054|Name=YLL031C|GPI13,1452.293585,-0.639155821,0.125812022,39.74222126,4.89E-08,4.16E-06,p < 0.05,GPI13,FALSE,NA,0
SK1_09T01880.1|CDS=1-3342|Name=YIR033W|MGA 2,1916.721652,0.577966651,0.119352347,39.23946264,6.22E-08,5.20E-06,p < 0.05,MGA 2,FALSE,NA,0
SK1_07T00690.1|CDS=1-1398|Name=YGL184C|STR3,137.0822431,1.037743502,0.272429237,39.06628086,6.75E-08,5.57E-06,p < 0.05,STR3,FALSE,NA,1
SK1_12T00830.1|CDS=1-5619|Name=YLR024C|UBR2,812.0717205,0.467729147,0.118782148,38.60091837,8.42E-08,6.84E-06,p < 0.05,UBR2,FALSE,NA,1
SK1_03T00700.1|CDS=1-852|Name=YCR010C|ADY2,263.3739737,4.286412794,0.895246266,37.52784121,1.40E-07,1.11E-05,p < 0.05,ADY2,FALSE,NA,1
SK1_08T00250.1|CDS=1-1197|Name=YHL022C|SPO11,61.64110795,1.308707269,0.322202213,37.23678305,1.61E-07,1.25E-05,p < 0.05,SPO11,FALSE,NA,1
SK1_13T02150.1|CDS=1-1032|Name=YMR101C|SRT1,83.4523353,2.90050573,0.57082498,36.7683214,2.01E-07,1.54E-05,p < 0.05,SRT1,FALSE,NA,1
SK1_15T03540.1|CDS=1-2403|Name=YOR233W|KIN4,1208.707024,-0.327075772,0.086224469,36.40699952,2.39E-07,1.81E-05,p < 0.05,KIN4,FALSE,NA,1
SK1_12T03900.1|CDS=1-729|Name=YLR376C|PSY3,1216.42458,-0.864589132,0.224257177,35.61241692,3.48E-07,2.60E-05,p < 0.05,PSY3,FALSE,NA,0
SK1_07T01400.1|CDS=1-1461|Name=YGL104C|VPS73,448.0238,0.74467563,0.181127383,35.10479168,4.42E-07,3.26E-05,p < 0.05,VPS73,FALSE,NA,1
SK1_13T00030.1|CDS=1-1692|Name=YML130C|ERO1,1719.265096,-0.163000879,0.081363122,34.28233005,6.52E-07,4.74E-05,p < 0.05,ERO1,FALSE,NA,0
SK1_10T00220.1|CDS=1-2370|Name=YJL200C|ACO2,1922.911175,0.002846016,0.096903661,34.09497962,7.13E-07,5.11E-05,p < 0.05,ACO2,FALSE,NA,0
SK1_12T03520.1|CDS=1-795|Name=YLR329W|REC102,68.36819863,1.614461359,0.364472223,34.04731845,7.29E-07,5.16E-05,p < 0.05,REC102,FALSE,NA,1
SK1_10T01050.1|CDS=1-1857|Name=YJL103C|GSM1,430.0429581,0.672570348,0.178491989,33.57855971,9.09E-07,6.36E-05,p < 0.05,GSM1,FALSE,NA,1
SK1_07T00510.1|CDS=1-2247|Name=YGL205W|POX1,49.84756402,1.647492248,0.384665809,33.43454266,9.73E-07,6.64E-05,p < 0.05,POX1,FALSE,NA,1
SK1_13T03880.1|CDS=1-4290|Name=YMR280C|CAT8,124.0961857,1.189039021,0.257850645,33.45829112,9.62E-07,6.64E-05,p < 0.05,CAT8,FALSE,NA,1
SK1_05T00460.1|CDS=1-3567|Name=YEL025C|YEL025C,1242.746254,0.370327298,0.118416725,32.88197981,1.26E-06,8.51E-05,p < 0.05,YEL025C,FALSE,NA,1
SK1_10T02770.1|CDS=1-969|Name=YJR095W|SFC1,66.16141449,1.249191597,0.405428001,32.74886652,1.34E-06,8.95E-05,p < 0.05,SFC1,FALSE,NA,1
SK1_12T04240.1|CDS=1-792|Name=YLR414C|PUN1,634.2923484,0.566770228,0.166649717,32.3566394,1.62E-06,0.000106404,p < 0.05,PUN1,FALSE,NA,1
SK1_15T00090.1|CDS=1-1029|Name=YOL151W|GRE2,544.0336078,-0.120404643,0.181851495,32.02993018,1.89E-06,0.000122634,p < 0.05,GRE2,FALSE,NA,0
SK1_04T06280.1|CDS=1-909|Name=YDR446W|ECM11,66.41493454,1.739196964,0.464404622,31.86973291,2.03E-06,0.000130698,p < 0.05,ECM11,FALSE,NA,1
SK1_04T00100.1|CDS=1-2373|Name=YDL239C|ADY3,164.6862098,1.153240662,0.25738824,31.52080357,2.40E-06,0.000151162,p < 0.05,ADY3,FALSE,NA,1
SK1_09T00910.1|CDS=1-2928|Name=YIL073C|SPO22,214.9915736,0.570067643,0.181007946,31.51156582,2.41E-06,0.000151162,p < 0.05,SPO22,FALSE,NA,1
SK1_12T03760.1|CDS=1-1449|Name=YLR359W|ADE13,4600.342624,-0.259253615,0.08904334,31.4103628,2.52E-06,0.000156747,p < 0.05,ADE13,FALSE,NA,0
SK1_16T04080.1|CDS=1-2709|Name=YPR160W|GPH1,305.2677342,0.464223832,0.253487861,30.22446253,4.41E-06,0.000270499,p < 0.05,GPH1,FALSE,NA,0
SK1_14T01790.1|CDS=1-1131|Name=YNL134C|YNL134C,771.2971697,-0.200869941,0.152614832,30.07896123,4.72E-06,0.000286415,p < 0.05,YNL134C,FALSE,NA,0
SK1_15T00970.1|CDS=1-1656|Name=YOL055C|THI20,1053.054336,-0.843334812,0.175421937,29.73700293,5.54E-06,0.000332545,p < 0.05,THI20,FALSE,NA,0
SK1_12T03330.1|CDS=1-264|Name=YLR307C-A|DPA10,11.6320622,3.200184245,0.937453343,29.50268236,6.18E-06,0.00036713,p < 0.05,DPA10,FALSE,NA,0
SK1_15T03050.1|CDS=1-1395|Name=YOR177C|MPC54,159.0649994,1.529685661,0.336714443,29.02614281,7.72E-06,0.000453977,p < 0.05,MPC54,FALSE,NA,1
SK1_04T05630.1|CDS=1-921|Name=YDR374C|PHO92,3749.907389,-0.370415984,0.258600734,28.92657578,8.09E-06,0.000470612,p < 0.05,PHO92,FALSE,NA,1
SK1_02T03840.1|CDS=1-3651|Name=YBR295W|PCA1,618.5237654,0.681274845,0.160354245,28.14428755,1.17E-05,0.000671213,p < 0.05,PCA1,FALSE,NA,1
SK1_09T01010.1|CDS=1-984|Name=YIL063C|YRB2,4746.704699,-0.705869941,0.230404095,27.895546,1.31E-05,0.000743144,p < 0.05,YRB2,FALSE,NA,0
SK1_16T01110.1|CDS=1-1293|Name=YPL168W|MRX4,325.167626,-0.574085296,0.210029662,27.88196113,1.32E-05,0.000743144,p < 0.05,MRX4,FALSE,NA,0
SK1_01T00720.1|CDS=1-921|Name=YAR015W|ADE1,2872.896387,-0.465558933,0.111310037,27.83830562,1.35E-05,0.000750773,p < 0.05,ADE1,FALSE,NA,0
SK1_11T03010.1|CDS=1-1650|Name=YKR097W|PCK1,74.19271671,1.074885862,0.563541199,27.77646539,1.38E-05,0.000765017,p < 0.05,PCK1,FALSE,NA,0
SK1_16T04200.1|CDS=1-603|Name=YPR172W|YPR172W,1064.003223,-0.58343091,0.189357213,27.67484648,1.45E-05,0.000794203,p < 0.05,YPR172W,FALSE,NA,0
SK1_05T00090.1|CDS=1-1443|Name=YEL064C|AVT2,377.5573206,-0.413636874,0.15498424,27.56097117,1.53E-05,0.000829298,p < 0.05,AVT2,FALSE,NA,0
SK1_01T00090.1|CDS=1-1254|Name=YAL061W|BDH2,155.2109019,0.333313764,0.229218393,27.44542894,1.62E-05,0.000866687,p < 0.05,BDH2,FALSE,NA,0
SK1_07T02000.1|CDS=1-264|Name=YGL032C|AGA2,201.1932262,0.454539349,0.21343531,27.38799103,1.66E-05,0.000881639,p < 0.05,AGA2,FALSE,NA,0
SK1_12T01510.1|CDS=1-3444|Name=YLR096W|KIN2,1659.464988,0.306722973,0.082715605,27.33680048,1.70E-05,0.000885884,p < 0.05,KIN2,FALSE,NA,1
SK1_16T00430.1|CDS=1-2130|Name=YPL240C|HSP82,10046.45061,0.261143799,0.162685635,27.35263514,1.69E-05,0.000885884,p < 0.05,HSP82,FALSE,NA,1
SK1_02T03310.1|CDS=1-1353|Name=YBR240C|THI2,5214.404913,-1.192059868,0.231680451,26.84165673,2.14E-05,0.001105161,p < 0.05,THI2,FALSE,NA,0
SK1_13T01400.1|CDS=1-1545|Name=YMR018W|PEX9,68.76438473,1.361696298,0.314061798,26.66249619,2.33E-05,0.001190101,p < 0.05,PEX9,FALSE,NA,1
SK1_07T04840.1|CDS=1-4425|Name=YGR281W|YOR1,2550.105102,0.305980151,0.098560412,26.42109009,2.60E-05,0.001319254,p < 0.05,YOR1,FALSE,NA,1
SK1_04T03890.1|CDS=1-4482|Name=YDR180W|SCC2,1040.474009,0.395486926,0.118110977,26.33859485,2.70E-05,0.001358355,p < 0.05,SCC2,FALSE,NA,1
SK1_10T01980.1|CDS=1-282|Name=YJR005C-A|LSO1,197.5073378,0.345773908,0.267276065,26.26715788,2.80E-05,0.001391551,p < 0.05,LSO1,FALSE,NA,1
SK1_12T01150.1|CDS=1-1410|Name=YLR058C|SHM2,8680.009746,-0.275714344,0.127368076,26.22409215,2.85E-05,0.001406998,p < 0.05,SHM2,FALSE,NA,0
SK1_07T01610.1|CDS=1-963|Name=YGL081W|YGL081W,331.3847684,1.036375806,0.256333281,26.06806865,3.07E-05,0.00149936,p < 0.05,YGL081W,FALSE,NA,1
SK1_03T01330.1|CDS=1-573|Name=YCR086W|CSM1,330.2522893,-0.601061679,0.171960566,26.01560263,3.14E-05,0.001522859,p < 0.05,CSM1,FALSE,NA,0
SK1_02T01180.1|CDS=1-612|Name=YBR014C|GRX7,710.9281313,-0.529168059,0.169532433,25.89703664,3.32E-05,0.001586931,p < 0.05,GRX7,FALSE,NA,0
SK1_08T00110.1|CDS=1-3279|Name=YHL035C|VMR1,859.619595,-0.899883397,0.223275095,25.85252998,3.39E-05,0.001586931,p < 0.05,VMR1,FALSE,NA,0
SK1_12T04260.1|CDS=1-1701|Name=YLR417W|VPS36,305.8504145,0.548379213,0.125470854,25.88730367,3.33E-05,0.001586931,p < 0.05,VPS36,FALSE,NA,1
SK1_16T04060.1|CDS=1-759|Name=YPR158W|CUR1,686.6555441,-0.033650563,0.14867348,25.8694157,3.36E-05,0.001586931,p < 0.05,CUR1,FALSE,NA,1
SK1_15T02610.1|CDS=1-1716|Name=YOR128C|ADE2,2722.663201,-0.241519389,0.082189736,25.67772634,3.67E-05,0.001706542,p < 0.05,ADE2,FALSE,NA,0
SK1_02T02330.1|CDS=1-7107|Name=YBR136W|MEC1,842.5951564,0.52045168,0.176708255,25.63562848,3.75E-05,0.001715964,p < 0.05,MEC1,FALSE,NA,1
SK1_15T03100.1|CDS=1-1188|Name=YOR184W|SER1,2193.884229,-0.47902002,0.108900594,25.62992303,3.76E-05,0.001715964,p < 0.05,SER1,FALSE,NA,0
SK1_10T03110.1|CDS=1-1920|Name=YJR130C|STR2,3104.543285,-0.712669797,0.178017201,24.9662242,5.11E-05,0.002314699,p < 0.05,STR2,FALSE,NA,0
SK1_15T00260.1|CDS=1-1416|Name=YOL132W|GAS4,14.79191928,2.317879915,0.578330172,24.62995928,5.97E-05,0.002682369,p < 0.05,GAS4,FALSE,NA,0
SK1_15T04770.1|CDS=1-1560|Name=YOR374W|ALD4,1247.926678,0.748394976,0.210889229,24.47198551,6.42E-05,0.002862342,p < 0.05,ALD4,FALSE,NA,1
SK1_07T00720.1|CDS=1-2694|Name=YGL180W|ATG1,386.1021792,0.434904194,0.148581552,24.37362617,6.72E-05,0.002971495,p < 0.05,ATG1,FALSE,NA,1
SK1_13T03070.1|CDS=1-3267|Name=YMR196W|YMR196W,555.9032392,0.333583831,0.128650628,24.25383291,7.10E-05,0.003115661,p < 0.05,YMR196W,FALSE,NA,0
