"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","gene_symbol","Candidate_EMG","delabel"
"SK1_12T00350.1|CDS=1-2727|Name=YLL026W|HSP104",2591.25343877519,0.326055878613266,0.0844135283583531,3.86260217946453,0.000112185617134386,0.00745660401886555,"Not Significant","HSP104",FALSE,NA
"SK1_05T01080.1|CDS=1-966|Name=YER037W|PHM8",3519.83879490648,0.314929156745213,0.0816826550699797,3.85552056890664,0.000115483619600068,0.00754997827811591,"Not Significant","PHM8",FALSE,NA
"SK1_10T01550.1|CDS=1-1353|Name=YJL049W|CHM7",257.047699243286,0.57347226933971,0.150427727899729,3.81227767876658,0.000137692062178648,0.00885670877368462,"Not Significant","CHM7",FALSE,NA
"SK1_04T01700.1|CDS=1-1053|Name=YDL065C|PEX19",588.169071471332,0.406907635645548,0.107029808090243,3.80181598851847,0.000143639394088011,0.00909260164480934,"Not Significant","PEX19",FALSE,NA
"SK1_12T01150.1|CDS=1-1410|Name=YLR058C|SHM2",6868.09061053001,-0.286275916600852,0.0755022938124254,-3.79161879918593,0.000149668523896121,0.00932621989527706,"Not Significant","SHM2",FALSE,NA
"SK1_08T00900.1|CDS=1-2076|Name=YHR042W|NCP1",6271.58879367665,-0.317283712242036,0.0841123374122929,-3.77214237534273,0.000161851852138663,0.00977977555043923,"Not Significant","NCP1",FALSE,NA
"SK1_09T00550.1|CDS=1-3252|Name=YIL112W|HOS4",877.240959929568,0.390695120302092,0.103503124433164,3.77471812992835,0.000160188687519766,0.00977977555043923,"Not Significant","HOS4",FALSE,NA
"SK1_04T06470.1|CDS=1-675|Name=YDR468C|TLG1",537.398636690727,0.517745272029428,0.13782132230328,3.756641304675,0.000172209052007824,0.010250294021003,"Not Significant","TLG1",FALSE,NA
"SK1_10T03370.1|CDS=1-3675|Name=YIL169C|CSS1",2617.71508026111,-0.356486453389255,0.0956059736059721,-3.72870480727981,0.000192466449711947,0.0112875911978124,"Not Significant","CSS1",FALSE,NA
"SK1_04T02050.1|CDS=1-1176|Name=YDL022W|GPD1",919.528038374035,-0.410049258215269,0.110905687911208,-3.6972788856741,0.000217922892092324,0.0125953115023796,"Not Significant","GPD1",FALSE,NA
"SK1_09T00060.1|CDS=1-1599|Name=YIL162W|SUC2",619.654676056948,-0.367252295691704,0.0995309829696491,-3.68982888276803,0.000224404946105507,0.0127846703581251,"Not Significant","SUC2",FALSE,NA
"SK1_02T02000.1|CDS=1-873|Name=YBR101C|FES1",1516.58051662739,0.307921090505132,0.0838356825217536,3.67291207327182,0.000239802013631663,0.0131654826959563,"Not Significant","FES1",FALSE,NA
"SK1_04T06330.1|CDS=1-2025|Name=YDR452W|PPN1",2405.56461476799,0.318988591434818,0.0868788994182891,3.6716463211511,0.00024099303831615,0.0131654826959563,"Not Significant","PPN1",FALSE,NA
"SK1_07T02030.1|CDS=1-363|Name=YGL029W|CGR1",449.510250583733,0.484258182858656,0.131794394308836,3.67434582781939,0.000238459576489631,0.0131654826959563,"Not Significant","CGR1",FALSE,NA
"SK1_11T01620.1|CDS=1-690|Name=YKL049C|CSE4",311.458460328886,0.578394218180495,0.157989775775936,3.66095980160631,0.00025127218398995,0.0133609795966923,"Not Significant","CSE4",FALSE,NA
"SK1_15T02640.1|CDS=1-657|Name=YOR131C|YOR131C",383.196953288089,0.482898322729669,0.131790696419922,3.66413059379411,0.000248180141345787,0.0133609795966923,"Not Significant","YOR131C",FALSE,NA
"SK1_04T03700.1|CDS=1-528|Name=YDR163W|CWC15",247.780944252699,0.51243555286804,0.14138409243271,3.62442156009826,0.00028960889726946,0.0148071831065463,"Not Significant","CWC15",FALSE,NA
"SK1_05T01090.1|CDS=1-1395|Name=YER038C|KRE29",361.546568328307,0.542623509740534,0.149477550669163,3.63013380478463,0.000283274334308574,0.0148071831065463,"Not Significant","KRE29",FALSE,NA
"SK1_07T03480.1|CDS=1-864|Name=YGR132C|PHB1",1253.2215887445,0.355216108533088,0.0979393726979803,3.62689793438317,0.000286846612266398,0.0148071831065463,"Not Significant","PHB1",FALSE,NA
"SK1_12T02390.1|CDS=1-345|Name=YLR200W|YKE2",484.48135377951,0.492755318503394,0.136785054865887,3.60240611802601,0.000315285283037218,0.0159159203639547,"Not Significant","YKE2",FALSE,NA
"SK1_07T03970.1|CDS=1-2208|Name=YGR186W|TFG1",1646.64270354201,0.30679918410955,0.0852983258049014,3.59677849728583,0.000322182610849068,0.0159858390979399,"Not Significant","TFG1",FALSE,NA
"SK1_16T01160.1|CDS=1-783|Name=YPL163C|SVS1",4259.90356684613,-0.260201961031751,0.0723836253350165,-3.59476276336597,0.000324687303644216,0.0159858390979399,"Not Significant","SVS1",FALSE,NA
"SK1_12T01010.1|CDS=1-1692|Name=YLR044C|PDC1",70071.6505811843,-0.291504117945503,0.081243942416823,-3.58801049375396,0.000333210882092905,0.0160050803993339,"Not Significant","PDC1",FALSE,NA
"SK1_13T01330.1|CDS=1-1626|Name=YMR011W|HXT2",15227.0844325553,-0.446346939965026,0.12474803200296,-3.57798782713009,0.000346249573150869,0.0160050803993339,"Not Significant","HXT2",FALSE,NA
"SK1_13T04130.1|CDS=1-1170|Name=YMR305C|SCW10",7447.6827642325,-0.360571379718938,0.100901906336466,-3.57348431571335,0.00035226235232873,0.0160050803993339,"Not Significant","SCW10",FALSE,NA
"SK1_14T03140.1|CDS=1-6702|Name=YNR016C|ACC1",10248.3026287781,-0.309490488935681,0.0864899337233752,-3.57834115037639,0.000345781924726663,0.0160050803993339,"Not Significant","ACC1",FALSE,NA
"SK1_15T02560.1|CDS=1-1395|Name=YOR123C|LEO1",1387.07072847334,0.368711920661614,0.102846314031279,3.58507666642752,0.000336979199461154,0.0160050803993339,"Not Significant","LEO1",FALSE,NA
"SK1_15T03210.1|CDS=1-2466|Name=YOR195W|SLK19",799.063534343105,0.480310815803773,0.134158492501754,3.58017451483731,0.000343364808841451,0.0160050803993339,"Not Significant","SLK19",FALSE,NA
"SK1_16T01330.1|CDS=1-1383|Name=YPL146C|NOP53",1897.79732059632,0.454878039822548,0.127316612196337,3.57280980050798,0.000353171282633246,0.0160050803993339,"Not Significant","NOP53",FALSE,NA
"SK1_02T03110.1|CDS=1-3543|Name=YBR218C|PYC2",4216.71236381042,-0.301658028556638,0.0846040268394593,-3.56552802302247,0.000363124357086388,0.0160904437340057,"Not Significant","PYC2",FALSE,NA
"SK1_10T01040.1|CDS=1-450|Name=YJL104W|PAM16",676.78439522228,0.357072808952406,0.100067479392651,3.56832020871938,0.0003592772609888,0.0160904437340057,"Not Significant","PAM16",FALSE,NA
"SK1_11T00230.1|CDS=1-1983|Name=YKL198C|PTK1",442.651757898291,-0.396079451513145,0.111642349198627,-3.54775275113987,0.000388532764944293,0.0170271282043719,"Not Significant","PTK1",FALSE,NA
"SK1_13T02980.1|CDS=1-714|Name=YMR188C|MRPS17",620.29744014234,0.430473615068519,0.121500178099207,3.54298752317078,0.000395621419432092,0.0171493284858172,"Not Significant","MRPS17",FALSE,NA
"SK1_02T00300.1|CDS=1-1377|Name=YBL082C|ALG3",638.043848109252,-0.402372254938826,0.114170264859317,-3.5243174344444,0.000424575279712667,0.0182065184461733,"Not Significant","ALG3",FALSE,NA
"SK1_02T03490.1|CDS=1-840|Name=YBR257W|POP4",253.256024711504,0.514081921185247,0.146139888125841,3.51773857074921,0.000435240920388051,0.0184653275585909,"Not Significant","POP4",FALSE,NA
"SK1_05T01300.1|CDS=1-1602|Name=YER056C|FCY2",5825.46549397844,-0.267526932486351,0.0761635026238533,-3.51253452467358,0.000443854333744489,0.0186325377155055,"Not Significant","FCY2",FALSE,NA
"SK1_07T03720.1|CDS=1-1287|Name=YGR159C|NSR1",8396.18833648218,-0.265143880541663,0.0755803316106936,-3.50810686975272,0.00045130771326807,0.0187480745886777,"Not Significant","NSR1",FALSE,NA
"SK1_04T02690.1|CDS=1-1005|Name=YDR051C|DET1",857.943979201777,0.331931392579148,0.0948569777487027,3.49928281985231,0.000466511471704253,0.0191798737026449,"Not Significant","DET1",FALSE,NA
"SK1_16T01420.1|CDS=1-498|Name=YPL135W|ISU1",1367.77241186265,-0.316122807596496,0.0904270843389565,-3.49588632551219,0.000472489938984827,0.0192274477211376,"Not Significant","ISU1",FALSE,NA
"SK1_15T02680.1|CDS=1-1110|Name=YOR136W|IDH2",1874.98061124944,-0.340424245242489,0.0974925986594416,-3.49179578679249,0.000479784913981526,0.0193270933026093,"Not Significant","IDH2",FALSE,NA
"SK1_12T00880.1|CDS=1-615|Name=YLR029C|RPL15A",10696.9598472297,0.290809404765013,0.0834141895056027,3.4863301614347,0.000489696220322633,0.0195290852664666,"Not Significant","RPL15A",FALSE,NA
"SK1_07T01840.1|CDS=1-417|Name=YGL054C|ERV14",931.789912150022,0.461575824458525,0.132667676295149,3.47918827968046,0.000502935100630533,0.019693201003542,"Not Significant","ERV14",FALSE,NA
"SK1_13T00590.1|CDS=1-1749|Name=YML071C|COG8",854.051023236594,0.35887821429561,0.103161865126672,3.47878757188952,0.000503687688656291,0.019693201003542,"Not Significant","COG8",FALSE,NA
"SK1_05T02340.1|CDS=1-429|Name=YER159C|BUR6",500.814090916032,0.494283831293444,0.142482601035808,3.46908203317557,0.000522239966665125,0.0200258941063512,"Not Significant","BUR6",FALSE,NA
"SK1_14T00280.1|CDS=1-654|Name=YNL306W|MRPS18",1121.74355602314,0.45929878107828,0.132326025302215,3.47096332735228,0.000518594819330522,0.0200258941063512,"Not Significant","MRPS18",FALSE,NA
