,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed,gene_symbol,Candidate_EMG,delabel,Candidate_w_FC
SK1_10T02920.1|CDS=1-3357|Name=YJR109C|CPA2,13466.04634,-3.001412138,0.245710602,-12.21523251,2.58E-34,9.23E-33,DOWN,CPA2,FALSE,NA,HIT
SK1_01T00080.1|CDS=1-1374|Name=YAL062W|GDH3,4221.577789,-2.46286392,0.202089115,-12.18701918,3.65E-34,1.28E-32,DOWN,GDH3,FALSE,NA,HIT
SK1_14T03650.1|CDS=1-2301|Name=YNR069C|BSC5,729.1598121,-3.032356947,0.249598582,-12.14893499,5.81E-34,2.01E-32,DOWN,BSC5,FALSE,NA,HIT
SK1_01T00290.1|CDS=1-1503|Name=YAL038W|CDC19,8812.138421,-3.256532884,0.268337583,-12.13595521,6.81E-34,2.35E-32,DOWN,CDC19,FALSE,NA,HIT
SK1_13T01740.1|CDS=1-1911|Name=YMR058W|FET3,4536.916334,-2.546543476,0.210684251,-12.0870139,1.24E-33,4.18E-32,DOWN,FET3,FALSE,NA,HIT
SK1_14T03540.1|CDS=1-1596|Name=YNR056C|BIO5,166.7454135,-2.447455203,0.202748748,-12.07137025,1.50E-33,5.00E-32,DOWN,BIO5,FALSE,NA,HIT
SK1_09T01390.1|CDS=1-765|Name=YIL018W|RPL2B,1646.729184,-2.081156939,0.172551307,-12.06109057,1.70E-33,5.63E-32,DOWN,RPL2B,FALSE,NA,HIT
SK1_07T00650.1|CDS=1-360|Name=YGL189C|RPS26A,1230.079186,-1.612774415,0.133727538,-12.06015189,1.71E-33,5.66E-32,DOWN,RPS26A,FALSE,NA,HIT
SK1_07T03060.1|CDS=1-1692|Name=YGR087C|PDC6,439.2328615,-2.833888113,0.236271611,-11.99419643,3.81E-33,1.24E-31,DOWN,PDC6,FALSE,NA,HIT
SK1_09T00340.1|CDS=1-600|Name=YIL133C|RPL16A,658.8050461,-2.018171231,0.168315953,-11.99037401,3.99E-33,1.29E-31,DOWN,RPL16A,FALSE,NA,HIT
